Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,H1,Description,Meta Title,Meta Description,Tag Hero Image
Adoption,adoption,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf1047e695095e5e5b0627,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 21:00:42 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 22:03:44 GMT+0000 (Coordinated Universal Time),"Dog Adoption Stories, Rescue Tips & Shelter Guides",<p>Posts related to adopting dogs and rescue stories.</p>,Dog Adoption Blog | Rescue Stories | LeashFree.ca,Find inspiring adoption stories and tips for adopting dogs in Canada.,
Adventure Gear,adventure-gear,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,69066e2b2d82c1e31fa71406,false,false,Sat Nov 01 2025 20:31:39 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 20:48:50 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 20:58:35 GMT+0000 (Coordinated Universal Time),Outdoor Adventure Gear for Active Dogs in Canada,"<p id="""">Dogs are our best adventure partners - and the right <strong id="""">adventure gear</strong> ensures they’re ready for anything. From waterproof harnesses and trail-ready leashes to travel bowls and reflective accessories, this tag explores everything you need for safe, fun outdoor excursions.</p><p id="""">Whether your dog joins you on hikes, paddleboarding, or camping trips, we test and recommend gear built to withstand Canada’s diverse terrain and weather. Find gear that’s lightweight, reliable, and designed for dogs who never stop exploring.</p>",Adventure Dog Gear | Outdoor Equipment for Active Dogs,"Gear up your dog for every Canadian adventure! Explore leashes, harnesses, and outdoor accessories designed for trail runs, camping, and hikes.",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6906705ca57558ad3351e1a7_adventure-dog-gear-outdoor-canada.jpg
Calgary,calgary,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf1046efdf8c36be71b864,false,false,Mon Sep 08 2025 17:20:06 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 21:01:10 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 22:03:44 GMT+0000 (Coordinated Universal Time),"Calgary Dog Parks, Events & Local Dog Life","<p>Posts related to dog parks and dog life in Calgary, Canada.</p>",Calgary Dog Blog | Parks & Dog Life | LeashFree.ca,"Find Calgary’s best leash-free parks, breed tips, and dog owner resources.",
Canadian Brands,canadian-brands,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,69066e75c4e2c1b29aff1490,false,false,Sat Nov 01 2025 20:32:53 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 21:02:09 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 22:03:44 GMT+0000 (Coordinated Universal Time),Trusted Canadian Dog Gear Brands You’ll Love,"<p id="""">Canada is home to some of the most trusted and innovative <strong id="""">dog gear brands</strong> in the world. From high-performance leashes to eco-friendly harnesses, Canadian makers understand what dogs and owners need for every season and adventure.</p><p id="""">Explore our features on brands, and other local companies that blend quality craftsmanship with a passion for the outdoors. Supporting Canadian brands means choosing gear built for the weather, trails, and spirit of our great northern dogs.</p>","Best Canadian Dog Gear Brands | Quality Leashes, Harnesses & More","Support local! Discover top Canadian dog gear brands like Rocky Mountain Dog that design durable, adventure-ready gear for every pup.",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69067153e38659bbb0c5ded5_canadian-dog-gear-brands.jpg
Canadian Dogs,canadian-dogs,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf10476a3724df4197dd62,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 21:02:00 GMT+0000 (Coordinated Universal Time),Sat Nov 01 2025 22:03:44 GMT+0000 (Coordinated Universal Time),"Celebrating Canadian Dogs, Culture & Lifestyle",<p>Posts celebrating dogs in Canada and Canadian dog culture.</p>,Canadian Dogs Blog | Culture & Lifestyle | LeashFree.ca,"Celebrate Canadian dogs, culture, and lifestyle with our blog posts.",
Dog Allergies,dog-allergies,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68dea9d2f00b24cb8b049c5f,false,false,Thu Oct 02 2025 16:35:30 GMT+0000 (Coordinated Universal Time),Thu Oct 02 2025 16:35:30 GMT+0000 (Coordinated Universal Time),Thu Oct 02 2025 16:35:30 GMT+0000 (Coordinated Universal Time),,<p>Resources and tips for allergy-sensitive families who want to live comfortably with dogs.</p>,Dog Allergies & Tips | LeashFree.ca,"Practical advice for allergy-sensitive families living with dogs, from grooming to cleaning routines that reduce allergens.",
Dog Parks,dog-parks,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68d34364d01879954e2f7191,false,false,Wed Sep 24 2025 01:03:32 GMT+0000 (Coordinated Universal Time),Wed Sep 24 2025 01:04:11 GMT+0000 (Coordinated Universal Time),Wed Sep 24 2025 01:18:27 GMT+0000 (Coordinated Universal Time),,"<p id="""">Guides and resources about dog parks across Canada, including local park directories, leash-free tips, and advice for making every visit safe and enjoyable.</p>",Dog Parks in Canada | Guides & Tips | LeashFree.ca,"Explore Canada’s best dog parks with LeashFree.ca. Find local guides, park etiquette, and tips for safe, fun off-leash adventures with your pup.",
Dog-Friendly Travel,dog-friendly-travel,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf104710cac3b381556aac,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Guides to dog-friendly travel spots across Canada.</p>,Dog-Friendly Travel Blog | Guides & Parks | LeashFree.ca,Plan your next trip with our dog-friendly travel guides in Canada.,
French Bulldog,french-bulldog,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf10476cb62948c5367e8f,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Posts related to French Bulldog breed care and health.</p>,French Bulldog Blog | Breed Guides | LeashFree.ca,"Explore French Bulldog health, care, and breed tips.",
German Shepherd,german-shepherd,68bf0d7329f4aba707b03d73,683758b09dd1e3ac2e4e9809,68bf1047bac3266a84c3aadc,false,false,Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:07 GMT+0000 (Coordinated Universal Time),Mon Sep 08 2025 17:20:49 GMT+0000 (Coordinated Universal Time),,<p>Posts related to German Shepherd breed guides and care.</p>,German Shepherd Blog | Breed Guides | LeashFree.ca,"Explore German Shepherd care tips, health, and training guides.",
