Business Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Category,Province,City,Street Address,Latitude,Longitude,Primary Website URL,Affiliate URL,Phone,Email,Instagram URL,Facebook URL,Google Maps Link,Short Description,Long Description,Hours,Service Tags,Featured Image,Gallery,Feature Rank,CTA Label,SEO Title,Meta Description,OG Title,OG Description
Alberta Animal Rescue Crew Society (AARCS),alberta-animal-rescue-crew-society-aarcs,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,68fbd7489fdfcfcac73777da,false,false,Fri Oct 24 2025 19:45:12 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 20:05:30 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 22:37:27 GMT+0000 (Coordinated Universal Time),animal-shelters-and-rescues,ab,calgary,"5060 74 Avenue SE, Calgary, Alberta T2C 3C9",50.9876,-113.9652,https://aarcs.ca/,,1 (403) 250-7377,info@aarcs.ca,,,,"Provides rescue, rehabilitation, and adoption services for abandoned and abused animals across Alberta.","<p>The Alberta Animal Rescue Crew Society (AARCS) is a Calgary-based non-profit organization dedicated to rescuing homeless, abused, and neglected animals throughout Alberta. Their Safe Haven shelter offers medical care, fostering, and adoption programs to help animals find loving homes. AARCS also supports rural and Indigenous communities through spay/neuter initiatives and humane education. (Information verified via AARCS official website.)</p>",<p>Tuesday–Sunday 9 AM – 5 PM (closed Mondays)</p>,,https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68fbd8bb8fbdce5e521b7251_compassionate-volunteer-holding-rescue-dog-at-canadian-animal-shelter.jpg,,0,Visit Website,Alberta Animal Rescue Crew Society (AARCS) – Dog Rescue in Calgary,"Adopt a dog or support animal rescue efforts at Alberta Animal Rescue Crew Society (AARCS) in Calgary, Alberta, helping animals across the province find safety and care.",,
Aldershot Animal Hospital,aldershot-animal-hospital-burlington,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,68fcc3785f7ebd78893fd513,false,false,Sat Oct 25 2025 12:32:56 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 14:22:25 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 15:29:59 GMT+0000 (Coordinated Universal Time),veterinarians,on,burlington,"320 Plains Road East, Burlington, Ontario L7T 2C8",,,https://vetburlingtonon.ca/,,(905) 632-2211,,,https://www.facebook.com/aldershotanimalhospital/,https://www.google.com/maps?q=320%20Plains%20Road%20East%2C%20Burlington%2C%20Ontario%20L7T%202C8,"Veterinary clinic in Aldershot providing preventive care, diagnostics, and surgery for dogs and cats.","<p id=""""><strong id="""">Aldershot Animal Hospital</strong> provides veterinary care for dogs and cats in Burlington’s Aldershot community, including wellness exams, vaccinations, diagnostics, dentistry and soft‑tissue surgery.</p>","<p>Mon, Wed, Thu, Fri: 8:00 AM – 6:00 PM</p>",,,,100,Visit Website,"Aldershot Animal Hospital – Veterinarian in Burlington, Ontario","Aldershot Animal Hospital provides veterinary care in Burlington’s Aldershot community, including exams, vaccines, diagnostics and surgery.",Aldershot Animal Hospital | Burlington Vet Clinic,Compassionate veterinary care for dogs and cats in Burlington’s Aldershot community.
Alderwood Veterinary Clinic,alderwood-veterinary-clinic,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928b8ec0799e5861a91fb5b,false,false,Thu Nov 27 2025 20:47:40 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 20:47:40 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,etobicoke,"320 Browns Line, Etobicoke, Ontario M8W 3T1",,,https://www.alderwoodvet.ca/,,(416) 252-6006,info@alderwoodvet.ca,,,https://www.google.com/maps?q=320%20Browns%20Line%2C%20Etobicoke%2C%20Ontario%20M8W%203T1,Neighbourhood veterinary clinic offering medical and preventive pet care.,"<p id=""""><strong id="""">Alderwood Veterinary Clinic</strong> provides wellness care, diagnostics, and treatment for pets in the Alderwood and Long Branch areas. (Information verified via Alderwood Veterinary Clinic official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Alderwood Veterinary Clinic – Veterinarian in South Etobicoke,Alderwood Veterinary Clinic offers preventive and medical veterinary care for pets in south Etobicoke.,Alderwood Veterinary Clinic | South Etobicoke Vet,"Learn about Alderwood Veterinary Clinic, serving the Alderwood and Long Branch communities."
Animal Hospital of Milton,animal-hospital-of-milton,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,69289e5a939419460dde479f,false,false,Thu Nov 27 2025 18:54:18 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 18:54:56 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:35:19 GMT+0000 (Coordinated Universal Time),veterinarians,on,milton,"491 Main Street East, Milton, Ontario L9T 1R1",43.51940,-79.86977,https://www.animalhospitalofmilton.com,,1 (905) 878-8853,mailto:info@animalhospitalofmilton.com,https://www.instagram.com/animalhospitalofmilton/,https://www.facebook.com/animalhospitalofmilton/,"https://www.google.com/maps?q=491+Main+Street+East,+Milton,+Ontario+L9T+1R1","Full-service veterinary hospital in Milton providing preventive, diagnostic, surgical, and dental care for dogs and cats.","<div data-rt-embed-type='true'><p><strong>Animal Hospital of Milton</strong> offers comprehensive veterinary services for dogs and cats, including wellness exams, diagnostics, dental care, surgery, and preventive medicine. The hospital’s team focuses on personalized attention and a calm, stress-free experience for pets and owners.</p>
<p>Located on Main Street East in Milton, the clinic has been part of the community for decades, known for its compassionate care and commitment to long-term pet health.</p>
<p><em>Information verified via the clinic’s official website.</em></p></div>","<p id="""">Mon – Fri: 8:00 AM – 6:00 PM</p><p id="""">Sat: 8:00 AM – 1:00 PM</p><p id="""">Sun: Closed</p>",,,,,Visit Website,"Animal Hospital of Milton – Veterinarian in Milton, Ontario","Animal Hospital of Milton provides comprehensive veterinary care, surgery, and dentistry for dogs and cats in a friendly, community-focused setting.",Animal Hospital of Milton | Milton Vet Clinic,"Trusted veterinary care in Milton offering exams, diagnostics, and surgery for dogs and cats."
Animal Hospital of Milton,animal-hospital-of-milton-e6f9b,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928a899a6b9e289b97b0759,false,false,Thu Nov 27 2025 19:38:01 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:58:39 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,milton,"491 Main Street East, Milton, Ontario L9T 1R1",,,https://www.animalhospitalofmilton.com/,,(905) 878-8853,,,,https://www.google.com/maps?q=491%20Main%20Street%20East%20Milton%20Ontario%20L9T%201R1,"Downtown Milton veterinary hospital offering comprehensive medical, surgical, and preventive care for dogs and cats.","<p id=""""><strong id="""">Animal Hospital of Milton</strong> is a downtown veterinary hospital that has been providing comprehensive care for dogs and cats since 2004. The clinic offers preventive wellness exams, vaccinations, diagnostics, surgery, dental care, and support for pets with chronic health concerns. Serving clients from Milton and across the GTA, the team focuses on practical, individualized treatment plans and strives to make visits as comfortable as possible for both pets and their owners. Animal Hospital of Milton also provides client education and follow-up guidance to help families manage their pets’ health at home between visits.</p><p id="""">(Information verified via Animal Hospital of Milton official website and local business listings.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Animal Hospital of Milton – Veterinarian in Milton,"Animal Hospital of Milton in downtown Milton, Ontario offers comprehensive veterinary services, including wellness care, surgery, dentistry, and diagnostics for dogs and cats.",Animal Hospital of Milton | Milton Vet Clinic,"Learn about Animal Hospital of Milton, a long-standing downtown veterinary hospital providing medical, surgical, and preventive care for pets from Milton and the surrounding GTA."
Animal Hospital of Oakville,animal-hospital-of-oakville,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,69022a8b5e2ffc20dc11bde3,false,false,Wed Oct 29 2025 14:54:03 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 15:27:04 GMT+0000 (Coordinated Universal Time),Wed Oct 29 2025 15:29:59 GMT+0000 (Coordinated Universal Time),veterinarians,,oakville,"234 South Service Road East, Oakville, Ontario L6J 2X5",43.44891,-79.66582,https://www.animalhospitaloakville.com,,(905) 845-1551,info@animalhospitaloakville.com,https://www.instagram.com/animalhospitaloakville/,https://www.facebook.com/AnimalHospitalofOakville/,https://www.google.com/maps?q=234%20South%20Service%20Road%20East%2C%20Oakville%2C%20Ontario%20L6J%202X5,"Full-service veterinary clinic in Oakville offering preventive care, diagnostics, dental care, and surgery for dogs and cats.","<p id=""""><strong id="""">Animal Hospital of Oakville</strong> provides comprehensive veterinary care for dogs and cats, including wellness exams, diagnostics, surgery, and dentistry. With an experienced medical team and a modern facility, the clinic focuses on preventive medicine and compassionate care tailored to each pet’s needs.</p><p id="""">Serving the Oakville community since 1950, this hospital has built a reputation for excellence and personalized service in pet health.</p><p id=""""><em id="""">Information verified via the clinic’s official website.</em></p>",<p>Mon–Fri: 8:00 AM – 6:00 PM; Sat: 8:00 AM – 1:00 PM; Sun: Closed</p>,,,,100,Visit Website,"Animal Hospital of Oakville – Trusted Veterinarian in Oakville, Ontario","The Animal Hospital of Oakville provides comprehensive veterinary care, surgery, and dentistry in a welcoming environment for dogs and cats.",Animal Hospital of Oakville | Veterinary Care in Oakville,"Full-service veterinary hospital offering preventive care, diagnostics, and surgery for pets in Oakville."
Applewood Veterinary Hospital,applewood-veterinary-hospital-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928ab405d230080b861a2e0,false,false,Thu Nov 27 2025 19:49:20 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:58:39 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"3621 Dixie Road, Unit 16B, Mississauga, Ontario L4Y 4H3",,,https://www.applewoodvets.com/,,(905) 629-3715,info@applewoodvets.com,,,https://www.google.com/maps?q=3621%20Dixie%20Road%2C%20Unit%2016B%2C%20Mississauga%2C%20Ontario%20L4Y%204H3,"Independent veterinary clinic in the Applewood area providing medical, surgical, and preventive care for dogs and cats.","<p id=""""><strong id="""">Applewood Veterinary Hospital</strong> is an independent small-animal practice on Dixie Road serving dogs and cats in the Applewood and east Mississauga neighbourhoods. The clinic offers routine wellness visits, vaccinations, diagnostics, surgery, dentistry, and support for pets with chronic health conditions. Applewood’s team focuses on respectful, straightforward communication so owners understand test results, treatment options, and follow-up needs. Accessible from major routes such as Dixie Road and the Queensway, the hospital is a convenient choice for local pet families.</p><p id="""">(Information verified via Applewood Veterinary Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Applewood Veterinary Hospital – Veterinarian in Mississauga,"Applewood Veterinary Hospital in Mississauga, Ontario provides wellness care, diagnostics, surgery, and dentistry for dogs and cats in the Applewood area.",Applewood Veterinary Hospital | Mississauga Vet Clinic,"Learn about Applewood Veterinary Hospital, an independent veterinary clinic offering full-service care for pets in east Mississauga."
Aquitaine Animal Hospital,aquitaine-animal-hospital-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928af07fac08e0f413aff94,false,false,Thu Nov 27 2025 20:05:27 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 20:32:45 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"6550 Meadowvale Town Centre Circle, Unit 9, Mississauga, Ontario L5N 4B7",,,https://aquitainevet.com/,,(905) 285-0015,,,,https://www.google.com/maps?q=6550%20Meadowvale%20Town%20Centre%20Circle%2C%20Unit%209%2C%20Mississauga%2C%20Ontario%20L5N%204B7,Family-owned animal hospital in Meadowvale Town Centre providing full-service veterinary care.,"<p id=""""><strong id="""">Aquitaine Animal Hospital</strong> is a family-owned veterinary hospital located in Meadowvale Town Centre, serving pets in Meadowvale and the surrounding area. The clinic offers comprehensive services including wellness exams, vaccinations, diagnostics, surgery, and support for rescue and humane organizations.</p><p id="""">(Information verified via Aquitaine Animal Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Aquitaine Animal Hospital – Veterinarian in Meadowvale Town Centre,Aquitaine Animal Hospital provides full-service veterinary care for dogs and cats in the Meadowvale Town Centre area of Mississauga.,Aquitaine Animal Hospital | Meadowvale Town Centre Vet Clinic,"Discover Aquitaine Animal Hospital, a family-owned veterinary hospital serving pets in Meadowvale Town Centre, Mississauga."
BC SPCA – Vancouver Branch,bc-spca-vancouver-branch,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,68f7e291ed6b814c22d31564,false,false,Tue Oct 21 2025 19:44:17 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 17:53:42 GMT+0000 (Coordinated Universal Time),Fri Oct 24 2025 17:54:15 GMT+0000 (Coordinated Universal Time),animal-shelters-and-rescues,bc,vancouver,"1205 East 7th Avenue Vancouver, BC V5T 1R1",,,https://spca.bc.ca/locations/vancouver/,,(604) 879-7721,mailto:vancouver@spca.bc.ca,http://www.instagram.com/bcspca,https://www.facebook.com/bcspca/,,"Provides animal rescue, adoption, and advocacy services for pets across Greater Vancouver.","<p>The BC SPCA Vancouver Branch works to protect and enhance the quality of life for animals in British Columbia. This branch offers adoption, cruelty investigations, humane education, and emergency animal care. Through outreach and community support, they help thousands of pets each year find safety and loving homes. <em id="""">(Information verified via the official BC SPCA website.)</em></p>",<p>Monday–Sunday 10 AM – 5 PM (adoptions by appointment)</p>,,https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f7e28696eb1c4f585ec2f7_volunteer-playing-with-rescue-dog-vancouver-shelter-canada.jpg,,,Visit Our Website,BC SPCA Vancouver Branch – Adopt a Pet in Vancouver,"Adopt a dog or cat from the BC SPCA Vancouver Branch. Providing animal rescue, adoption, and education services across Greater Vancouver.",,
Bristol Veterinary Hospital,bristol-veterinary-hospital-mississauga,68f3eb26d7ca3dac6e94b96d,683758b09dd1e3ac2e4e9809,6928ab408866d55772934af0,false,false,Thu Nov 27 2025 19:49:20 GMT+0000 (Coordinated Universal Time),Thu Nov 27 2025 19:58:39 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 18:20:50 GMT+0000 (Coordinated Universal Time),veterinarians,on,mississauga,"1525 Bristol Road West, Unit 2, Mississauga, Ontario L5M 4Z1",,,https://www.bristolveterinaryhospital.com/,,(905) 858-5959,info@bristolveterinaryhospital.com,,,https://www.google.com/maps?q=1525%20Bristol%20Road%20West%2C%20Unit%202%2C%20Mississauga%2C%20Ontario%20L5M%204Z1,"Busy west Mississauga animal hospital offering extended hours, wellness care, diagnostics, surgery, and dentistry for dogs and cats.","<p id=""""><strong id="""">Bristol Veterinary Hospital</strong> is a high-traffic companion animal hospital at Creditview Road and Bristol Road West, providing veterinary care for dogs and cats in west Mississauga. The hospital offers extended hours seven days a week along with wellness exams, vaccinations, surgery, dentistry, diagnostics, and nutritional counselling. Its team focuses on practical, compassionate treatment plans designed to support long-term health and early detection of disease. With convenient evening and weekend availability, Bristol Veterinary Hospital is a flexible option for families balancing work, school, and pet care.</p><p id="""">(Information verified via Bristol Veterinary Hospital official website.)</p>","<p id="""">See website for hours.</p>",,,,100,Visit Website,Bristol Veterinary Hospital – Veterinarian in Mississauga,"Bristol Veterinary Hospital in Mississauga, Ontario offers extended-hours veterinary care, including wellness, diagnostics, surgery, and dentistry for dogs and cats.",Bristol Veterinary Hospital | Mississauga Vet Clinic,"Discover Bristol Veterinary Hospital, a west Mississauga animal hospital with extended hours and full-service medical and preventive care for pets."
