Park Name,slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Park Header,Park type,Description,Street Address,latitude,longitude,City,Province,Postal Code,Fenced,Separate Small Dog Area,Surface type,Size,Water source available,Benches,Shaded area,Waste bins,Bag Dispensers,Parking Available,Washrooms nearby,Operating hours,Seasonal Restrictions,Park Website or Source,Google Maps Link,Tags,Notes / Comments,Intro Paragraph,Media,Reviewed On,Meta Title,Meta Description,Dog Park FAQs,Park Rules,Public Notes
Centennial Park,centennial-park-mission,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,mission-centennial-park-20260716,false,false,Thu Jul 16 2026 12:00:00 GMT+0000 (Coordinated Universal Time),Thu Jul 16 2026 12:00:00 GMT+0000 (Coordinated Universal Time),Thu Jul 16 2026 12:00:00 GMT+0000 (Coordinated Universal Time),Centennial Park Off-Leash Dog Area,Leash Free,"<p>Centennial Park is Mission's designated off-leash dog destination, located at 11th Avenue and Taulbut Street within a larger community park.</p>",11th Avenue and Taulbut Street,,,Mission,British Columbia,,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Dogs should be leashed outside the designated off-leash area; verify posted signage and current City of Mission guidance before visiting.,https://www.mission.ca/parks-recreation/parks-trails/centennial-park,,"leash-free, fenced, community park, trails",,"<p>The City of Mission lists Centennial Park's off-leash dog area along with parking, paved trails, benches, picnic tables, washrooms, fencing, and waste receptacles. Planned improvements should not be treated as current amenities until completed.</p>",,,,,,,
Adams Park,adams-park-cornwall,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,68705619cce7d0ad22b006fc,false,false,Fri Jul 11 2025 00:08:57 GMT+0000 (Coordinated Universal Time),Fri Jul 11 2025 00:28:21 GMT+0000 (Coordinated Universal Time),Fri Jul 11 2025 12:18:36 GMT+0000 (Coordinated Universal Time),Adams Park | Cornwall Park Guide,Neighbourhood park,"<p>Adams Park is a Cornwall neighbourhood park with a community softball diamond, but it should not be treated as an official off-leash dog park.</p>",Twelfth St E & Sydney St,45.034499,-74.735395,Cornwall,Ontario,K6H 5T8,No,No,"Grass park space, playground area, and softball diamond",Neighbourhood park,Unknown - verify on arrival,Unknown - verify on arrival,Some mature tree cover,Unknown - verify on arrival,No official dog-park dispensers confirmed,Street parking,No city-confirmed washrooms noted,Verify posted park hours on arrival,Check current city notices,https://www.cornwall.ca/en/recreation-community-supports/parks-and-trails/neighbourhood-parks/,https://www.google.com/maps/search/?api=1&query=Twelfth+St+E+and+Sydney+St+Cornwall+ON,"park-guide,cornwall,neighbourhood-park,softball-diamond,adams-park","<p>Primary sources: https://www.cornwall.ca/en/recreation-community-supports/parks-and-trails/neighbourhood-parks/ and https://www.cornwall.ca/en/recreation-community-supports/parks-and-trails/sports-fields-and-baseball-diamonds/. Current city materials list Adams Park at Twelfth St E & Sydney St and identify it as a community softball diamond. Reviewed on August 4, 2026.</p>","<p>Adams Park is a <strong>Cornwall neighbourhood park</strong> at <strong>Twelfth Street East and Sydney Street</strong>, with a local playground setting and a city-listed <strong>community softball diamond</strong>.</p>",,2026-08-04,Adams Park | Cornwall Park Guide | LeashFree.ca,"Source-backed guide to Adams Park in Cornwall, including its Twelfth Street East and Sydney Street location, neighbourhood playground role, and community softball diamond.",,,
Aitken Place Park,aitken-place-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6843493fdfc489a4894ed7dd,false,false,Fri Jun 06 2025 20:02:07 GMT+0000 (Coordinated Universal Time),Fri Jun 13 2025 23:14:52 GMT+0000 (Coordinated Universal Time),Sat Jun 14 2025 00:09:21 GMT+0000 (Coordinated Universal Time),Aitken Place Park (Dogs Allowed Area),Dogs Allowed,"<p>Aitken Place Park is a small riverside park located in Toronto's East Bayfront. While there’s no leash-free zone, the open lawn and quiet pathways make it a calm place for on-leash dog walking near the waterfront.</p>",120 Lower Sherbourne St,43.6451858011547,-79.36242753389298,Toronto,Ontario,M5A 1A4,No,No,Grass and stone path,Approx. 0.8 acres,No,Yes,Partial,Yes,No,Street parking nearby,No,7:00 AM – 9:00 PM,None,,"https://www.google.com/maps/place/Dog+Park/@43.6447922,-79.3628851,19.18z/data=!4m14!1m7!3m6!1s0x89d4cb6528725d9b:0x983e20523f1e8982!2sAitken+Place+Park!8m2!3d43.6449133!4d-79.3624647!16s%2Fg%2F11j2p60p7s!3m5!1s0x89d4cb005b031db5:0x406a27934bd2f307!8m2!3d43.6451493!4d-79.3624073!16s%2Fg%2F11ltq7zrxs!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D","on-leash, waterfront, benches, green space",<p>Relaxed park for waterfront strolls.</p>,<p>Aitken Place Park is a cozy riverside green space ideal for peaceful on-leash dog walks near Toronto’s East Bayfront.</p>,,,,,,,
Ajax Waterfront Park,ajax-waterfront-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,68700bdd872edf285014e0a5,false,false,Thu Jul 10 2025 18:52:13 GMT+0000 (Coordinated Universal Time),Thu Jul 10 2025 23:41:38 GMT+0000 (Coordinated Universal Time),Fri Jul 11 2025 12:18:36 GMT+0000 (Coordinated Universal Time),"Ajax Waterfront Park Guide | Ajax, Ontario",On-leash park guide,"<p>Ajax Waterfront stretches across the Town's Lake Ontario shoreline through natural and maintained parkland. The current Town leash-free list does not include Ajax Waterfront, and the municipal dog-park layer has no Ajax Waterfront dog-park polygon. Keep dogs leashed throughout this shared waterfront destination and use a designated Ajax leash-free area for off-leash exercise.</p><p>The map on this page uses 43.8214755746, -79.0100068494, the calculated centroid of the Town's 5.03-hectare Ajax Waterfront open-space segment associated with Lake Driveway East. Ajax Waterfront is a broad, multi-segment destination with several access points, so treat Lake Driveway East as a central reference rather than the only entrance.</p><p>The Town describes an asphalt multi-use trail more than seven kilometres long within more than 150 acres of public waterfront space. The route is shared by people walking, jogging, cycling and in-line skating. Keep the leash short enough that it does not impede other users. The waterfront page identifies washrooms at the Rotary Park and Carruthers Marsh pavilions, while the Town's pet-waste program lists containers at several waterfront nodes. Washroom hours, bag dispensers and a potable dog-water source are not published for the mapped reference point, so bring water and waste bags.</p><p>Six Town waterfront parking lots serve the broader shoreline. From May 15 to September 15, weekend and holiday controls apply: registered Ajax residents can use designated waterfront parking without charge, while non-resident visitors must pay in designated areas. Confirm the current zone, rate and signs before leaving your vehicle.</p><p>Ajax parks normally close from 11 p.m. to 6 a.m. The Dog and Cat By-law requires a leash no longer than 1.8 metres on or within three metres of a multi-use path or off-road trail, prohibits dogs from running at large, and requires immediate waste removal. Dogs are also prohibited within two metres of playgrounds, play structures, wading pools, spray pads and splash pads unless passing on a Town-designed multi-use pathway or off-road trail. Follow posted closures and site-specific notices.</p>",Lake Driveway E,43.8214755746,-79.0100068494,Ajax,Ontario,,No designated dog enclosure,No designated small-dog area,Asphalt multi-use trail; natural and maintained parkland,More than 150 acres of waterfront public space,Unknown - no potable dog-water source confirmed,Unknown at the mapped reference point,Varies by waterfront segment; not documented at the mapped reference point,Pet-waste containers at selected waterfront nodes,Unknown - bring waste bags,Yes,At Rotary Park and Carruthers Marsh pavilions; hours not published on the waterfront page,6 a.m.–11 p.m. unless otherwise authorized or posted,Dogs remain leashed; May 15–September 15 weekend and holiday parking controls apply,https://ajax.ca/explore/parks-recreation/beaches-waterfronts-conservation/,https://www.google.com/maps/search/?api=1&query=43.8214755746%2C-79.0100068494,"on-leash,waterfront,multi-use-trail,lake-ontario","<p>Primary sources reviewed on August 26, 2026: https://ajax.ca/explore/parks-recreation/beaches-waterfronts-conservation/ ; https://ajax.ca/explore/parks-recreation/explore-ajax-outdoors/ ; https://ajax.ca/town-hall/governance-accountability/by-law/parking/ ; https://ajax.ca/life-in-ajax/town-services/garbage-recycling/ ; https://www.ajax.ca/Modules/bylaws/Bylaw/Download/1d18be84-8f82-4259-91a1-f8ea30eb8751 ; https://www.ajax.ca/Modules/bylaws/Bylaw/Download/dc5e13f2-b242-4ec1-93c5-a26849a7c2ab ; https://ajaxmaps.ajax.ca/gisernie/rest/services/Public/Ajax_Open_Data/MapServer/22 ; and https://ajaxmaps.ajax.ca/gisbert/rest/services/Cityworks/Ops_ES_IAM_PROD/MapServer/67 . Confirmed: Ajax Waterfront open-space records; more than 150 acres of public space; six kilometres of Lake Ontario parkland; an asphalt multi-use trail over seven kilometres long; absence from the current leash-free list and dog-park layer; 1.8-metre trail leash rule; cleanup and park rules; 6 a.m.-11 p.m. park hours; six waterfront parking lots and seasonal controls; selected waterfront pet-waste locations; and official central-segment centroid 43.8214755746, -79.0100068494. Reasonable inference: Lake Driveway East is a central reference rather than a single exclusive entrance, and the destination should be presented as an on-leash guide. Unknown: dog shoreline or water access, potable dog water, separate small-dog area, fencing outside ordinary park boundaries, bench and shade coverage at the reference point, bag dispensers, washroom hours and distance, postal code and temporary closures.</p>","<p>Ajax Waterfront is an <strong>on-leash park guide</strong>, not a designated off-leash dog park. The Town describes more than 150 acres of public waterfront space with six kilometres of Lake Ontario parkland and an asphalt multi-use trail more than seven kilometres long.</p>",,Wed Aug 26 2026 12:00:00 GMT+0000 (Coordinated Universal Time),"Ajax Waterfront Park Guide | Ajax, Ontario","Plan a leashed dog walk at Ajax Waterfront: Lake Ontario parkland, an asphalt multi-use trail, current leash rules, hours, parking, and visitor tips.","<p><strong>1. Is Ajax Waterfront an off-leash dog park?</strong></p><p>No. The Town's current leash-free list and dog-park layer do not designate Ajax Waterfront itself as leash-free. Keep dogs leashed and use a named Ajax leash-free area for off-leash exercise.</p><p><strong>2. What kind of route does Ajax Waterfront offer?</strong></p><p>The Town describes more than 150 acres of public waterfront space, six kilometres of Lake Ontario parkland and an asphalt multi-use trail more than seven kilometres long.</p><p><strong>3. Where does this page's map point lead?</strong></p><p>It uses the official centroid of a 5.03-hectare Ajax Waterfront open-space segment associated with Lake Driveway East. The waterfront has several segments and access points, so this is a central reference rather than the only entrance.</p><p><strong>4. Is waterfront parking available?</strong></p><p>Yes. The Town lists six waterfront parking lots. Seasonal controls run from May 15 to September 15 on weekends and holidays; check the current zone, registration requirements, rates and posted signs.</p><p><strong>5. Are washrooms, waste containers and dog water available?</strong></p><p>The waterfront page identifies washrooms at Rotary Park and Carruthers Marsh pavilions, and Ajax lists pet-waste containers at several waterfront nodes. Hours, bag dispensers and potable dog water are not confirmed for the mapped reference point, so bring water and waste bags.</p><p><strong>6. What leash rules and hours apply?</strong></p><p>Parks normally close from 11 p.m. to 6 a.m. Ajax requires a leash no longer than 1.8 metres on or within three metres of multi-use and off-road trails. Pick up waste immediately and follow posted dog restrictions and closures.</p>",Keep dogs leashed on a leash no longer than 1.8 metres on or within three metres of multi-use and off-road trails; prevent dogs from running at large; remove waste immediately; obey posted dog restrictions and closures.,
Albert Park/Radisson Heights Off-Leash Area,albert-park-radisson-heights-off-leash-area,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,683b1760f70902c6a0af1a58,false,false,Sat May 31 2025 14:51:12 GMT+0000 (Coordinated Universal Time),Sat May 31 2025 14:51:12 GMT+0000 (Coordinated Universal Time),Sun Jun 01 2025 00:16:54 GMT+0000 (Coordinated Universal Time),Albert Park/Radisson Heights (Off-Leash Area),Leash Free,"<p>Located near the heart of Calgary’s Albert Park/Radisson Heights neighborhood, this off-leash area offers green space for dogs to run freely, surrounded by residential charm and natural beauty.</p>",17 Ave SE & Radcliffe Dr SE,,,Calgary,Alberta,T2A 0T2,No,No,Grass,Unknown,No,No,,Yes,,Street Parking,No,5:00 AM to 11:00 PM,,https://www.calgary.ca/parks/off-leash-locations.html,https://www.google.com/maps/place/Albert+Park+Off+Leash+Area/,"community park, open space, southeast","<p>Easy access from nearby homes, minimal amenities on-site.</p>",<p>The Albert Park/Radisson Heights Off-Leash Area provides a basic yet valuable space for local dogs and their owners to enjoy fresh air and exercise close to home.</p>,,,,,,,
Albion Fairgrounds,albion-fairgrounds-maple-ridge,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871b92ffbcaa166b43c6cff,false,false,Sat Jul 12 2025 01:23:59 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 12:00:00 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 01:27:16 GMT+0000 (Coordinated Universal Time),Albion Fairgrounds Dog Park,Leash Free,"<p>Maple Ridge's current facility page gives a stronger and more useful picture. Albion Fairgrounds is a broader recreation complex at 23588 Jim Robson Way with public-use buildings, covered picnic areas, benches, open green space, portable and permanent washrooms, drinking water, parking, and walking and horse-trail access. The city explicitly lists an off-leash dog park among the site amenities, which confirms the park's current municipal status.</p><p>The dog-park improvement project page adds the details that actually improve trip planning. Maple Ridge says the Albion Fairgrounds dog off-leash area improvement project was completed in January 2025 after a series of 2024 upgrades. The city identifies lighting installed in February 2024, a dog cooling misting feature added in May 2024, additional seating for both the small and large dog areas, drainage and surfacing work to help keep feet and paws dry, and shade-tree planting completed through late 2024. The same page also notes that the earlier concept plan was revised to exclude a walking loop and agility features for the time being, which is exactly the kind of specificity that helps prevent us from overstating amenities.</p>",23588 Jim Robson Way,,,Maple Ridge,British Columbia,V2W 1B8,Unknown,Yes - city improvement page references small and large dog areas,Open green space with improved drainage and surfacing,Large off-leash area within the fairgrounds complex,Yes - drinking water and dog cooling misting feature,Yes,Yes - shade trees planted as part of improvements,Unknown,Unknown,Yes,Yes,,Follow posted site rules and any city project or event notices,https://www.mapleridge.ca/art-parks-rec/recreation-facilities/albion-fairgrounds,https://www.google.com/maps/search/?api=1&query=23588+Jim+Robson+Way+Maple+Ridge+BC,"off-leash,fairgrounds,misting-feature,shade-trees","<p>Primary sources reviewed on August 17, 2026: https://www.mapleridge.ca/art-parks-rec/parks-trails/dogs-parks ; https://www.mapleridge.ca/art-parks-rec/recreation-facilities/albion-fairgrounds ; and https://www.mapleridge.ca/your-government/city-projects/albion-fairgrounds-dog-leash-area-improvements . These sources support Albion Fairgrounds' official off-leash status, the Jim Robson Way location, current amenity list, and the completed January 2025 off-leash-area improvements including lighting, drainage and surfacing work, a dog cooling misting feature, additional seating, and shade trees.</p>","<p>Albion Fairgrounds is one of Maple Ridge's official off-leash dog park locations and part of a larger fairgrounds and recreation site on Jim Robson Way. The city's current facility page lists the fairgrounds as a public-use site with an off-leash dog park, open green space, drinking water, parking, washrooms, and walking trails.</p>",,Mon Aug 17 2026 12:00:00 GMT+0000 (Coordinated Universal Time),"Albion Fairgrounds Dog Park | Maple Ridge, BC | LeashFree.ca","Source-backed guide to Albion Fairgrounds in Maple Ridge, including the Jim Robson Way location, off-leash dog park status, drinking water, washrooms, parking, walking trails, and the completed 2024–2025 dog-area improvements such as lighting, seating, drainage, shade trees, and a cooling misting feature.",,,
Alexander Park,alexander-park-victoria,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871ad75ccf02a280e2060d6,false,false,Sat Jul 12 2025 00:33:57 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 00:35:34 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 01:27:16 GMT+0000 (Coordinated Universal Time),Alexander Park | Victoria Leash-Optional Dog Area,Park,<p>Alexander Park is a Fernwood neighbourhood park in Victoria with play equipment and a designated leash-optional dog area that operates during posted daily off-leash time windows.</p>,1325 Bay Street,48.4340805,-123.3436044,Victoria,British Columbia,V8T 2N1,No,No,Grass,Small neighbourhood park,Unknown - verify on arrival,Likely in park areas - verify on arrival,Some mature tree cover,Yes - city says leash-optional parks have trash bins,Yes - city says leash-optional parks have bag dispensers,Street parking,No city-confirmed washrooms noted,Daily 6:00 a.m. to 10:00 a.m. and 4:00 p.m. to 10:00 p.m.,Off-leash use limited to posted leash-optional area only,https://www.victoria.ca/parks-recreation/parks-trails/our-parks/alexander-park,https://www.google.com/maps/search/?api=1&query=1325+Bay+Street+Victoria+BC,"leash-optional,fernwood,victoria,neighbourhood-park","<p>Primary sources: https://www.victoria.ca/parks-recreation/our-parks, https://www.victoria.ca/parks-recreation/parks-trails/our-parks/alexander-park, and https://www.victoria.ca/parks-recreation/our-parks/dogs-parks. Supporting source for current published leash-optional hours: https://www.vacs.ca/leash-optional-parks/city-victoria. Additional city context: https://www.victoria.ca/city-government/news/plant-trees-city. Reviewed on July 30, 2026.</p>","<p>Alexander Park is a small <strong>Fernwood</strong> neighbourhood park in Victoria at <strong>1325 Bay Street</strong>, with <strong>play equipment</strong> and a designated <strong>leash-optional area</strong> for dogs.</p>",,2026-07-30,Alexander Park | Victoria Leash-Optional Dog Area | LeashFree.ca,"Source-backed guide to Alexander Park in Victoria, including the official 1325 Bay Street address, Fernwood location, leash-optional status, play equipment, and current off-leash hours.",,,
Alguire Park,alguire-park-cornwall,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,68705619c04fd3af83ee7653,false,false,Fri Jul 11 2025 00:08:57 GMT+0000 (Coordinated Universal Time),Thu Aug 20 2026 12:00:00 GMT+0000 (Coordinated Universal Time),Fri Jul 11 2025 12:18:36 GMT+0000 (Coordinated Universal Time),Alguire Park | Cornwall,Neighbourhood Park,"On the City's neighbourhood parks page, Alguire appears as a standard local park. On the current animals and wildlife page, Cornwall says dogs are not allowed in City parks except for four specific exceptions: <strong>Guindon Park roadways and the Trillium Picnic area</strong>, <strong>Boals Drain Linear Park from Emma Avenue to Meadowvale Crescent</strong>, the <strong>Cedar Rapids corridor from Optimist Park to Brookdale Avenue and from Power Dam Drive east to Vincent Massey Drive</strong>, and <strong>Lamoureux Park</strong>. Alguire Park is not included in that list.</p><p>That means The safer interpretation from the current municipal sources is that visitors should treat Alguire as a neighbourhood park where the general city park dog restriction applies. If you are looking for a Cornwall location where the City's current rules explicitly allow dogs, the municipal source points instead to places such as <strong>Lamoureux Park</strong> or the named corridor exceptions.</p><p>The City also provides a useful location reference for Alguire itself. The neighbourhood parks page places it at <strong>Dundee and Dewhurst Avenue</strong>, and the summer playground program shows that Alguire continues to function as an active local family park rather than a specialized dog facility.</p>",Dundee & Dewhurst Ave,45.0343801,-74.7641621,Cornwall,Ontario,,No dog area confirmed,No,Grass and trees,Neighbourhood park,Unknown - verify on arrival,Unknown - verify on arrival,Yes - tree cover,Unknown - verify on arrival,No dog area confirmed,Unknown - verify on arrival,Unknown,Verify posted park hours on arrival,Cornwall's current animal rules do not list Alguire Park among parks where dogs are permitted,https://www.cornwall.ca/en/recreation-community-supports/parks-and-trails/neighbourhood-parks/,https://www.google.com/maps/search/?api=1&query=Alguire+Park+Cornwall+ON,"integrity-correction,neighbourhood-park,dogs-not-permitted,cornwall","<p>Primary sources reviewed on Thursday, August 20, 2026: https://www.cornwall.ca/en/recreation-community-supports/parks-and-trails/neighbourhood-parks/ for the current listing of Alguire Park at Dundee and Dewhurst Avenue; https://www.cornwall.ca/en/property-environment/animals-and-wildlife/ for Cornwall's current dog rules stating dogs are not allowed in City parks except for a short named list that does not include Alguire Park; and https://www.cornwall.ca/en/recreation-community-supports/parks-and-trails/summer-playground-program/ confirming Alguire's current use as a neighbourhood program park.</p>","<p>Alguire Park is currently listed by the City of Cornwall as a <strong>neighbourhood park at Dundee and Dewhurst Avenue</strong>. However, Cornwall's current animal rules say <strong>dogs are not allowed in City parks except for a limited list of named exceptions</strong>, and <strong>Alguire Park is not one of those exceptions</strong>.</p>",,Thu Aug 20 2026 12:00:00 GMT+0000 (Coordinated Universal Time),"Alguire Park | Cornwall, ON | LeashFree.ca","Current Cornwall source-backed note for Alguire Park: it is listed as a neighbourhood park, but Cornwall's current animal rules do not list it among the city parks where dogs are permitted.",,,
Allan Gardens,allan-gardens,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,684346408fd9bc270082e23d,false,false,Fri Jun 06 2025 19:49:20 GMT+0000 (Coordinated Universal Time),Fri Jun 06 2025 19:51:16 GMT+0000 (Coordinated Universal Time),Sat Jun 14 2025 00:09:21 GMT+0000 (Coordinated Universal Time),Allan Gardens (Dogs Allowed Area),Dogs Allowed,"<p>Allan Gardens is a historic downtown park and conservatory that permits dogs on-leash throughout its extensive grounds. While there’s no designated leash-free zone, the park is dog-friendly and includes shaded paths and open grass areas ideal for calm strolls with pets.</p>",160 Gerrard Street East,43.661812650454095,-79.37472212455705,Toronto,Ontario,M5A 2E5,No,No,Grass and paved paths,Approx. 5 acres,No,Yes,Yes,Yes,No,Street parking,Yes,Open daily,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=41,"https://www.google.com/maps/place/Allan+Gardens/@43.6619621,-79.3760364,18z/data=!4m6!3m5!1s0x89d4cb4be1e72fab:0xe157d9eca042dd27!8m2!3d43.6617429!4d-79.3747382!16zL20vMDdsdDFj?entry=ttu&g_ep=EgoyMDI1MDYwMy4wIKXMDSoASAFQAw%3D%3D","on-leash, historic, downtown, shaded","<p>Great option for dog walks in central Toronto, but not a leash-free space.</p>","<p>Allan Gardens offers dog owners a scenic, shaded spot for on-leash walks through its downtown botanical park setting.</p>",,,,,,,
Andy Livingstone,andy-livingstone-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6838bee668b0ef7f9732be0e,false,false,Thu May 29 2025 20:09:10 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:37:10 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:38:18 GMT+0000 (Coordinated Universal Time),Andy Livingstone (off-leash dog park),Leash Free,"<p>Andy Livingstone stands out as one of Vancouver's designated off-leash parks in BC. Covering 1125 square meters, it has a grass base that supports active dog activities. Visitors can enjoy 6 AM to 10 PM access, and the park includes comfortable benches, offers shady spots, and has accessible washrooms nearby. Does not include water access, so bring your furry friend for a refreshing outdoor experience.</p>","89 Carrall St, Vancouver",,,Vancouver,BC,,Yes,,Grass,,No,Yes,Yes,No,,,Yes,6 AM to 10 PM,,,,,,"<p>Andy Livingstone is a well-loved off-leash dog park in Vancouver. This park features a grass surface and an open space for dogs to roam freely. It provides no water access, minimal shade, and limited seating, making it a great destination for local dog owners to relax and let their pets socialize.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf8248d43e4eb440ee42_golden-retriever-in-forest-edge-dog-park.png,,,,,,
