"collection","item_name","item_slug","field_name","original_webflow_url","current_local_filename","suggested_local_path","status","notes"
"Blog Categories","Dog Breeds","dog-breeds","Thumbnail Image (Image, optional)","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68befabfd016067ed6af0eda_Collage%20of%20multiple%20dog%20breeds%20(2880x1488","","/public/images/blog-categories/blog-categorie-dog-breeds-card.jpg","not_started","Prefilled from CMS export URL."
"Blog Categories","Dog Gear","dog-gear","Thumbnail Image (Image, optional)","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69066ccd283a0a25618cdd31_canadian-dog-gear-adventure-trail.jpg","","/public/images/blog-categories/blog-categorie-dog-gear-card.jpg","not_started","Prefilled from CMS export URL."
"Blog Categories","Dog Names","dog-names","Thumbnail Image (Image, optional)","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf0830fc36f27098a4aaa8_Cute%20puppy%20with%20name%20tag%20(2880x1488","","/public/images/blog-categories/blog-categorie-dog-names-card.jpg","not_started","Prefilled from CMS export URL."
"Blog Categories","Dog Parks","dog-parks","Thumbnail Image (Image, optional)","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bef84a071bc039505c4fdd_Wide%20shot%20of%20dogs%20running%20in%20a%20fenced%20park%20(2880x1488","","/public/images/blog-categories/blog-categorie-dog-parks-card.jpg","not_started","Prefilled from CMS export URL."
"Blog Categories","Health & Wellness","health-wellness","Thumbnail Image (Image, optional)","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf0b14071bc0395063ade2_Dog%20with%20Canadian%20flag%20bandana%20at%20park%20(2880x1488","","/public/images/blog-categories/blog-categorie-health-wellness-card.jpg","not_started","Prefilled from CMS export URL."
"Blog Categories","Lifestyle & Community","lifestyle-community","Thumbnail Image (Image, optional)","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf0cbbc7c5626a9d251a54_Dog%20with%20Canadian%20flag%20bandana%20at%20park%20(2880x1488","","/public/images/blog-categories/blog-categorie-lifestyle-community-card.jpg","not_started","Prefilled from CMS export URL."
"Blog Categories","Training & Behavior","training-behavior","Thumbnail Image (Image, optional)","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf0a2fb342dbb8fe3a4532_Dog%20training%20with%20treat%20in%20a%20park%20(2880x1488","","/public/images/blog-categories/blog-categorie-training-behavior-card.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","15 Most Googled Dog Questions - Answered","most-googled-dog-questions","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ec165eb9a096633f2b7b56_curious-mixed-breed-dog-questions-leashfree-2880x1488.jpg","","/public/images/blogs/blog-most-googled-dog-questions-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Average Vet Costs in Canada","average-vet-costs-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f2a729386c8e6a61f5e78c_average-vet-costs-in-canada-hero.jpg","","/public/images/blogs/blog-average-vet-costs-in-canada-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Average Vet Costs in Canada","average-vet-costs-in-canada","Rich Text Body","https://www.canadianveterinarians.net","","/public/images/blogs/blog-average-vet-costs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Average Vet Costs in Canada","average-vet-costs-in-canada","Rich Text Body","https://ovc.uoguelph.ca","","/public/images/blogs/blog-average-vet-costs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Average Vet Costs in Canada","average-vet-costs-in-canada","Rich Text Body","https://trupanion.com/canada","","/public/images/blogs/blog-average-vet-costs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Average Vet Costs in Canada","average-vet-costs-in-canada","Rich Text Body","https://www.statista.com","","/public/images/blogs/blog-average-vet-costs-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dog Leashes for Hiking in Canada: Tested on Trails","best-dog-leashes-for-hiking-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69066b542ae91f2b41da4c20_dog-hiking-canadian-trail-hands-free-leash.jpg","","/public/images/blogs/blog-best-dog-leashes-for-hiking-in-canada-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dog Leashes for Hiking in Canada: Tested on Trails","best-dog-leashes-for-hiking-in-canada","Rich Text Body","https://rockymountaindog.ca/?ref=ladlcphb","","/public/images/blogs/blog-best-dog-leashes-for-hiking-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dog Leashes for Hiking in Canada: Tested on Trails","best-dog-leashes-for-hiking-in-canada","Rich Text Body","https://rockymountaindog.ca/?ref=ladlcphb","","/public/images/blogs/blog-best-dog-leashes-for-hiking-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68eafe5ecbbb60c6fc3f2f2c_best-apartment-dogs-canada-hero.jpg","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-hero.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/cavalier-king-charles-spaniel","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/havanese","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/french-bulldog","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/shih-tzu","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/cocker-spaniel","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/basset-hound","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/whippet","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/miniature-schnauzer","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/cavapoo","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/maltipoo","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
"Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Rich Text Body","https://leashfree.ca/dog-breeds/labradoodle","","/public/images/blogs/blog-best-dogs-for-apartment-living-in-canada-image.jpg","not_started","Prefilled from CMS export URL."
