priority,collection,item_name,item_slug,field_name,current_page_path,original_webflow_url,current_status,reason,owner_action_needed
"critical_before_launch","City Pages","Bridgewater","bridgewater","Hero Image","/dog-parks/bridgewater/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b89801ceaed5277ebc4147_Off-Leash%20Dog%20Parks%20in%20Halifax.jpg","missing / none","No source media file matched this tracker row.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","Calgary","calgary","Hero Image","/dog-parks/calgary/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6871d6f4f9092a9827cf604e_calgary-dog-parks.avif","missing / none","No source media file matched this tracker row.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","Halifax","halifax","Hero Image","/dog-parks/halifax/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b89801ceaed5277ebc4147_Off-Leash%20Dog%20Parks%20in%20Halifax.jpg","missing / none","No source media file matched this tracker row.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","Kentville","kentville","Hero Image","/dog-parks/kentville/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b985b43343e3e3a1dc404b_Off-Leash%20Dog%20Park%20in%20Kentville%2C%20NS.jpg","missing / none","No source media file matched this tracker row.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","London","london","Hero Image","/dog-parks/london/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e567153d38594bfaf0aed6_london-dog-park-hero.jpg","missing / none","No source media file matched this tracker row.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","Mississauga","mississauga","Hero Image","/dog-parks/mississauga/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f11fe46ed7e781525275fc_mississauga-jack-darling-dogs-grassy-field.jpg","missing / none","No source media file matched this tracker row.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","Oakville","oakville","Hero Image","/dog-parks/oakville/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f11deca0b7c8cbfb2471ed_oakville-bronte-creek-dogs-nature-trail.jpg","missing / none","No source media file matched this tracker row.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","Toronto","toronto","Hero Image","/dog-parks/toronto/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6841ef5c544b2be7210b151a_Toronto%20Leash-Free%20Dog%20Parks.jpg","review_required / medium","Best source match scored 57: slug in filename, item name in filename, field purpose. Medium confidence match has competing candidates and was not copy eligible.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","Truro","truro","Hero Image","/dog-parks/truro/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b89801ceaed5277ebc4147_Off-Leash%20Dog%20Parks%20in%20Halifax.jpg","missing / none","No source media file matched this tracker row.","Provide or approve a launch-ready hero/card image before cutover."
"critical_before_launch","City Pages","Vancouver","vancouver","Hero Image","/dog-parks/vancouver/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6870777b8ad3cc37e3a285e6_vancouver-dog-parks-directory-hero-graphic.png","review_required / medium","Best source match scored 49: slug in filename, item name in filename. Medium confidence match has competing candidates and was not copy eligible.","Provide or approve a launch-ready hero/card image before cutover."
"recommended_before_launch","Dog Breeds","English Springer Spaniel","english-springer-spaniel","Featured Image","/dog-breeds/english-springer-spaniel/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68a48a2c228d09fcf4f5b05f_A_high-resolution_digital_photograph_taken_during.avif","missing / none","No source media file matched this tracker row.","Provide media if available; placeholder is acceptable for preview."
"recommended_before_launch","Dog Breeds","Korean Jindo Dog","korean-jindo-dog","Featured Image","/dog-breeds/korean-jindo-dog/","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68d71e4de5c516613ae0b5f7_jindo-dog-forest-trail-portrait-leashfree.avif","missing / none","No source media file matched this tracker row.","Provide media if available; placeholder is acceptable for preview."
