"source","type","current_url_or_path","inferred_new_path","collection","slug","status","notes"
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/401.html","static-page","/401","/401/","","401","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/404.html","static-page","/404","/404/","","404","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/about-us.html","static-page","/about-us","/about-us/","","about-us","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/alberta-dog-parks.html","static-page","/alberta-dog-parks","/alberta-dog-parks/","","alberta-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/blog.html","static-page","/blog","/blog/","","blog","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/british-columbia-dog-parks.html","static-page","/british-columbia-dog-parks","/british-columbia-dog-parks/","","british-columbia-dog-parks","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/canadian-dog-names.html","static-page","/canadian-dog-names","/canadian-dog-names/","","canadian-dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/color-inspired-dog-names.html","static-page","/color-inspired-dog-names","/color-inspired-dog-names/","","color-inspired-dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/contact.html","static-page","/contact","/contact/","","contact","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/cute-dog-names.html","static-page","/cute-dog-names","/cute-dog-names/","","cute-dog-names","review","Static Webflow HTML export."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_blog-categories.html","cms-template","/detail_blog-categories","/detail_blog-categories/","","detail_blog-categories","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_blog-tags.html","cms-template","/detail_blog-tags","/detail_blog-tags/","","detail_blog-tags","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_blog.html","cms-template","/detail_blog","/detail_blog/","","detail_blog","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_breed-groups.html","cms-template","/detail_breed-groups","/detail_breed-groups/","","detail_breed-groups","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_category.html","cms-template","/detail_category","/detail_category/","","detail_category","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_city.html","cms-template","/detail_city","/detail_city/","","detail_city","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_directory.html","cms-template","/detail_directory","/detail_directory/","","detail_directory","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_dog-breeds.html","cms-template","/detail_dog-breeds","/detail_dog-breeds/","","detail_dog-breeds","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_dog-names.html","cms-template","/detail_dog-names","/detail_dog-names/","","detail_dog-names","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_dog-parks.html","cms-template","/detail_dog-parks","/detail_dog-parks/","","detail_dog-parks","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_pet-insurance.html","cms-template","/detail_pet-insurance","/detail_pet-insurance/","","detail_pet-insurance","review","Webflow detail template export; not a live final slug by itself."
"LeashFree-Webflow-Backup-2026-05-26/01-webflow-code-export/leashfree-webflow-code-export-2026-05-26.zip/detail_provinces.html","cms-template","/detail_provinces","/detail_provinces/","","detail_provinces","review","Webflow detail template export; not a live final slug by itself."
