priority_score,section,content_type,route,name,risk_level,review_age_days,word_count,quality_status,quality_completion_score,issue_classifications,canonical_risk_type,recommended_action,recommended_canonical_url,duplicate_group_key,duplicate_group_size,canonical_confidence_score,missing_source_url,missing_required_fields,data_quality_flags,reasons
107,dog-park-locations,City Pages,/dog-parks/barrie/,Barrie,High,317,435,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 435 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/belleville/,Belleville,High,317,384,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 384 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/brampton/,Brampton,High,317,394,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 394 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/brandon/,Brandon,High,317,425,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 425 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/burnaby/,Burnaby,High,317,419,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 419 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/campbellford/,Campbellford,High,317,389,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 389 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/coquitlam/,Coquitlam,High,317,413,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 413 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/courtice/,Courtice,High,317,359,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 359 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/edmonton/,Edmonton,High,317,429,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 429 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
107,dog-park-locations,City Pages,/dog-parks/etobicoke/,Etobicoke,High,317,423,missing-source,73,needs-source-research; needs-content-expansion; needs-human-review,,,,,,,yes,rules; officialSource; reviewedOn,,"stale 317 days; thin content 423 words; missing official/source URL; missing city fields: rules, officialSource, reviewedOn"
