routePath,city,province,currentTitle,currentMetaDescription,priorityScore,qualityCompletionScore,missingRequiredFields,suggestedSearchQuery,sourceStatus,recommendedSourceUrl,sourceTitle,sourceType,sourceConfidenceScore,sourceNotes,reviewStatus,reviewedOnCandidate,appliedOn
/dog-parks/king-city/,King city,Ontario,King city,Browse off-leash dog parks and dog-friendly information for King city.,118,18,seoIntro | about | rules | seasonalTips | etiquette | officialSource | faq | reviewedOn | parkListingGrid,King city Ontario dog parks official | King city Ontario off leash dog park official | King city Ontario leash free dog park rules | King city municipal dog park bylaw,verified-official,https://www.king.ca/recreation-living/parks-trails-and-forestry/parks/king-city-leash-dog-park,King City Off-Leash Dog Park | Township Of King,official dog park / off-leash area page,0.99,Official Township of King page dedicated to the King City off-leash dog park.,applied-live,2026-05-29,2026-05-29
/dog-parks/mission/,Mission,British Columbia,Mission,Browse off-leash dog parks and dog-friendly information for Mission.,118,18,seoIntro | about | rules | seasonalTips | etiquette | officialSource | faq | reviewedOn | parkListingGrid,Mission British Columbia dog parks official | Mission British Columbia off leash dog park official | Mission British Columbia leash free dog park rules | Mission municipal dog park bylaw,likely-official-needs-review,https://www.mission.ca/community-environment/about-mission/mission-wayfinder,Mission Wayfinder | City of Mission,official city or municipality website,0.68,"Official City of Mission page that references off-leash dog park access, but not a dedicated off-leash policy page.",pending,2026-05-29,
/dog-parks/yorkton/,Yorkton,Saskatchewan,Off-Leash Dog Park in Yorkton SK | LeashFree.ca,Discover Yorkton’s fenced off-leash dog park — a spacious and friendly environment where your dog can enjoy off-leash fun in eastern Saskatchewan.,116,45,rules | etiquette | officialSource | faq | reviewedOn | parkListingGrid,Yorkton Saskatchewan dog parks official | Yorkton Saskatchewan off leash dog park official | Yorkton Saskatchewan leash free dog park rules | Yorkton municipal dog park bylaw,verified-official,https://www.yorkton.ca/our-government/animal-services/enforcement/,Enforcement | City of Yorkton,official bylaw or animal services page,0.94,City of Yorkton Animal Services enforcement page explicitly references off-leash dog park use.,applied-live,2026-05-29,2026-05-29
/dog-parks/battleford/,Battleford,Saskatchewan,Off-Leash Dog Park in Battleford SK | LeashFree.ca,"Discover the off-leash dog park in Battleford, SK — a safe, fenced area where dogs can run free and socialize in west-central Saskatchewan.",110,64,rules | officialSource | reviewedOn | parkListingGrid,Battleford Saskatchewan dog parks official | Battleford Saskatchewan off leash dog park official | Battleford Saskatchewan leash free dog park rules | Battleford municipal dog park bylaw,verified-official,https://battleford.ca/off-leash-dog-park,"Off Leash Dog Park - Battleford, SK",official dog park / off-leash area page,0.98,Official Town of Battleford off-leash dog park page.,applied-live,2026-05-29,2026-05-29
/dog-parks/estevan/,Estevan,Saskatchewan,Off-Leash Dog Park in Estevan SK | LeashFree.ca,Discover Estevan’s fenced off-leash dog park — a safe and open space for dogs to play and exercise freely in Saskatchewan’s southeast.,110,64,rules | officialSource | reviewedOn | parkListingGrid,Estevan Saskatchewan dog parks official | Estevan Saskatchewan off leash dog park official | Estevan Saskatchewan leash free dog park rules | Estevan municipal dog park bylaw,likely-official-needs-review,https://estevan.ca/wp-content/uploads/2021/05/MAY-31-2021-WEBSITE.pdf,City of Estevan Council Minutes (Dog Park Rules Discussion),official city or municipality website,0.63,Official Estevan-hosted council document discussing off-leash dog park rules; dedicated evergreen city dog park page was not clearly found.,pending,2026-05-29,
/dog-parks/gatineau/,Gatineau,Quebec,Gatineau Dog Parks | LeashFree.ca,"Explore Gatineau's top off-leash dog parks. Find fenced, safe, and scenic parcs à chiens where your dog can run freely across the city.",110,64,rules | officialSource | reviewedOn | parkListingGrid,Gatineau Quebec dog parks official | Gatineau Quebec off leash dog park official | Gatineau Quebec leash free dog park rules | Gatineau municipal dog park bylaw,verified-official,https://www.gatineau.ca/portail/default.aspx?p=guichet_municipal/animaux/chiens/chiens_dans_parcs,Chiens dans les parcs - Ville de Gatineau,official bylaw or animal services page,0.97,Official Ville de Gatineau dogs-in-parks guidance including off-leash and on-leash rules.,applied-live,2026-05-29,2026-05-29
/dog-parks/humboldt/,Humboldt,Saskatchewan,Off-Leash Dog Park in Humboldt SK | LeashFree.ca,"Explore Humboldt’s fenced off-leash dog park, offering a secure and welcoming environment for dogs to play and socialize in central Saskatchewan.",110,64,rules | officialSource | reviewedOn | parkListingGrid,Humboldt Saskatchewan dog parks official | Humboldt Saskatchewan off leash dog park official | Humboldt Saskatchewan leash free dog park rules | Humboldt municipal dog park bylaw,likely-official-needs-review,https://humboldt.ca/parks-and-trails/,"Parks, Trails & Outdoor Activities - City of Humboldt",official parks and recreation page,0.66,Official City of Humboldt parks page; direct off-leash dog park listing requires manual verification.,pending,2026-05-29,
/dog-parks/laval/,Laval,Quebec,"Dog parks in Laval, Quebec | LeashFree.ca","Find Laval's top off-leash dog parks. Explore fenced parcs à chiens where dogs can run freely, play safely, and meet other pups across Laval.",110,64,rules | officialSource | reviewedOn | parkListingGrid,Laval Quebec dog parks official | Laval Quebec off leash dog park official | Laval Quebec leash free dog park rules | Laval municipal dog park bylaw,verified-official,https://www.laval.ca/conseils/tout-savoir-parcs-chiens-laval/,Tout savoir sur les parcs � chiens | Ville de Laval,official dog park / off-leash area page,0.98,Official Ville de Laval page specifically about dog parks and rules.,applied-live,2026-05-29,2026-05-29
/dog-parks/lloydminster/,Lloydminster,Saskatchewan,Off-Leash Dog Park in Lloydminster | LeashFree.ca,"Explore the off-leash dog park in Lloydminster, located in Bud Miller All Seasons Park. A safe, fenced space for dogs to run freely on the SK/AB border.",110,64,rules | officialSource | reviewedOn | parkListingGrid,Lloydminster Saskatchewan dog parks official | Lloydminster Saskatchewan off leash dog park official | Lloydminster Saskatchewan leash free dog park rules | Lloydminster municipal dog park bylaw,verified-official,https://www.lloydminster.ca/home-property-utilities/animal-services/,Animal Services | City of Lloydminster,official bylaw or animal services page,0.95,Official City of Lloydminster animal services page referencing off-leash dog park and bylaw context.,applied-live,2026-05-29,2026-05-29
/dog-parks/martensville/,Martensville,Saskatchewan,Off-Leash Dog Park in Martensville SK | LeashFree.ca,"Explore Martensville’s off-leash dog park, a fully fenced and open space where dogs can play and socialize safely just minutes from Saskatoon.",110,64,rules | officialSource | reviewedOn | parkListingGrid,Martensville Saskatchewan dog parks official | Martensville Saskatchewan off leash dog park official | Martensville Saskatchewan leash free dog park rules | Martensville municipal dog park bylaw,verified-official,https://www.martensville.ca/pages/off_leash_dog_park.html,Off-Leash Dog Park | City of Martensville,official dog park / off-leash area page,0.99,Official City of Martensville page for the off-leash dog park.,applied-live,2026-05-29,2026-05-29
