tier,workstream,imagePlan,status,section,contentType,name,route,canonicalUrl,province,city,priorityScore,qualityCompletionScore,wordCount,thinThreshold,stale,reviewAgeDays,missingSourceUrl,sourceUrl,missingFields,missingInternalLinks,dataQualityFlags,canonicalRiskType,issueClassifications,researchStatus,validationStatus,seoStatus,imageStatus,publishStatus
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Laval,/dog-parks/laval/,https://leashfree.ca/dog-parks/laval/,Quebec,,110,64,364,450,true,314,true,,rules | officialSource | reviewedOn | parkListingGrid,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Estevan,/dog-parks/estevan/,https://leashfree.ca/dog-parks/estevan/,Saskatchewan,,110,64,377,450,true,314,true,,rules | officialSource | reviewedOn | parkListingGrid,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Melfort,/dog-parks/melfort/,https://leashfree.ca/dog-parks/melfort/,Saskatchewan,,107,73,299,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Weyburn,/dog-parks/weyburn/,https://leashfree.ca/dog-parks/weyburn/,Saskatchewan,,107,73,320,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Amherst,/dog-parks/amherst/,https://leashfree.ca/dog-parks/amherst/,Nova Scotia,,107,73,323,450,true,314,true,,officialSource | reviewedOn | parkListingGrid,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Prince Albert,/dog-parks/prince-albert/,https://leashfree.ca/dog-parks/prince-albert/,Saskatchewan,,107,73,325,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Nipawin,/dog-parks/nipawin/,https://leashfree.ca/dog-parks/nipawin/,Saskatchewan,,107,73,336,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,North Battleford,/dog-parks/north-battleford/,https://leashfree.ca/dog-parks/north-battleford/,Saskatchewan,,107,73,338,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Melville,/dog-parks/melville/,https://leashfree.ca/dog-parks/melville/,Saskatchewan,,107,73,354,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Warman,/dog-parks/warman/,https://leashfree.ca/dog-parks/warman/,Saskatchewan,,107,73,357,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Courtice,/dog-parks/courtice/,https://leashfree.ca/dog-parks/courtice/,Ontario,,107,73,359,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Steinbach,/dog-parks/steinbach/,https://leashfree.ca/dog-parks/steinbach/,Manitoba,,107,73,364,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Stouffville,/dog-parks/stouffville/,https://leashfree.ca/dog-parks/stouffville/,Ontario,,107,73,367,450,true,268,true,,officialSource | reviewedOn | parkListingGrid,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
T1-source-research,city-guide,original-location-context,queued,dog-park-locations,City Pages,Morden,/dog-parks/morden/,https://leashfree.ca/dog-parks/morden/,Manitoba,,107,73,372,450,true,314,true,,rules | officialSource | reviewedOn,,,,needs-source-research | needs-content-expansion | needs-human-review,not-started,not-started,not-started,not-started,not-started
